	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM009	SM010	SM011	SM014	SM015	SM016	SM020	SM021	SM022	SM023	SM024	SM025	SM027	SM030	SM031	SM032	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM050	SM054	SM055	SM056	SM057	SM058	SM059	SM061	SM062	SM063	SM064	SM065	SM067	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM080	SM081	SM082	SM083	SM084	SM085	SM087	SM088	SM089	SM091	SM092	SM093	SM094	SM097	SM098	SM099	SM103	SM105	SM110	SM112	SM116	SM124	SM125	SM126	SM127	SM129	SM130	SM131	SM132	SM133	SM134	SM135	SM136	SM137	SM139	SM140	SM141	SM142	SM143	SM144	SM145	SM146	SM147	SM150	SM151	SM152	SM153	SM154	SM155	SM156	SM157	SM158	SM159	SM160	SM162	SM164	SM165	SM166	SM167	SM168	SM169	SM170	SM173	SM174	SM176	SM177	SM179	SM180	SM181	SM182	SM183	SM184	SM185	SM186	SM187	SM188	SM189	SM193	SM194	SM196	SM197	SM198	SM199	SM200
Contig10289_at	194.5	396	287.7	360.3	236.9	265.1	270.1	351.2	322.6	264.7	212.5	337.2	209.7	181.3	249.2	154.4	216.2	250.5	200.5	183.9	154.1	303.2	208.1	153.9	148.4	197	282	200.9	222.1	161.9	182.7	267.7	233.6	172.5	191.1	237.4	300.5	101.1	364.5	162.4	172	221	274.9	214.8	308.1	195.3	270.1	187.6	267.7	205.1	234.1	215.1	189.1	267.6	166.1	189.3	297.8	229.9	223	237.6	278.9	199.4	124.3	278.5	339.7	203.2	292	224.3	270.2	251.2	198.1	234.3	209	244.2	218.1	158.4	249	385.3	213.7	150.4	343.2	237	136.1	200.5	156.7	257.4	139.7	197.3	178.9	169.6	153.4	347.4	192.3	198.7	186.7	137.6	161.3	321.1	265.9	136.9	188	165.3	214.8	276.7	242.3	297.1	176	242.7	175.3	245.4	213.7	209.9	262.5	202	158.2	266.3	259.8	212	149.7	226.5	174.6	249.6	288.3	166.5	246.2	260.5	277.7	282.9	167.7	234.2	245.8	179.1	228.8	261.5	328	389.4	253.2	263
Contig11131_s_at	171	393.4	327.7	368.3	207.4	246.3	161	319.7	315.6	287.4	195.8	189	305.2	141.2	278.2	136.8	243.5	225.7	313.1	195.7	202.4	353.5	213.5	137.6	142.4	160.5	279.1	187.3	143.6	161.8	180.8	287	250.9	146.6	219.2	190.3	337	175.6	338.1	156	214.4	245.3	292.9	313	208.9	273.5	238.1	226.8	185.2	185.9	153.1	199.7	175.2	307.9	96	175.9	329.6	133.9	214.4	226.5	252.7	316.5	66	310.7	437.9	200	319.8	223.4	298.9	260.4	146.9	236.1	205.6	227.8	259.8	118.8	274.5	240.8	220	139.7	373.4	264.5	112.3	155.7	135.5	273.3	125.3	132.9	187.7	137.4	141.4	228.4	275.4	180	157.2	122.9	170.9	289.1	289.6	158.2	214.2	159.3	262	295.4	200.7	310.7	181.6	281	183.6	260.7	188.9	217.5	238.5	171	174.4	338.8	299.9	265.1	180.6	239.3	178	300.6	306.9	198.8	264.1	241.1	274	373.2	156.3	225.3	278.1	156.4	255.2	301.4	406.5	326.2	302.7	234.8
Contig11481_at	228.6	345.5	304.4	319.8	182.3	212.5	213.6	338	295.4	295.4	206	262.3	262.5	292.8	245	150.2	185.9	200.6	193.8	205.7	236.7	264	201.5	190.8	157.2	146.7	271.6	197	216.4	174.6	164.6	209.6	242	139.4	182	393.1	267.3	130.1	303.4	196.6	186.7	232.4	210.2	299.5	264	355.6	208.9	195.2	237.2	257.8	204.4	228.5	214.1	303.5	131.1	181.8	339.4	252.4	241.2	214.7	291.3	219.6	138.5	251.4	311	189.2	249.3	258	283.4	281.7	207	277.5	249.4	190	234.5	176.4	278.8	235.8	234.4	197.4	339.3	249.2	106.4	199.9	159.1	275.2	139.6	211.5	207.9	197.2	154.1	278.1	237.3	198.3	211	257.8	178	293	258.7	140.9	193.6	184.1	212.3	224.5	194.5	300.1	184.9	355	166.2	247.5	173.9	218.4	243.4	217.1	153.6	256	284.8	256.5	143.4	191.7	191.3	232	218.7	171.2	252	215	245.3	262.2	174.8	188.7	306.3	208.8	274.8	247.3	364.9	327.1	209.8	201.5
Contig11509_at	239.1	1491.9	1486.9	1954.6	718.4	1050.6	975	622.4	1086	1268.1	406.1	1500.6	427.9	359.5	988.3	260.2	743.6	344.7	325.2	361.7	236.1	1167.1	292.7	291.3	520.6	241.5	929.6	293.3	420.1	214.4	698.5	706.5	1027.1	239.5	667.8	463.1	1489.1	248.4	1229.9	468	328.7	1048.2	1098.4	398.6	480.1	820	318.4	388.5	454.6	662.6	908.8	1006.3	474.3	1219	187.7	871.1	1231.9	452.6	1117.1	808	1056.4	446.1	278.1	1737.1	1325.2	683.3	1335.5	468.3	1155.2	882.2	552.3	507.3	384.3	882.1	878.5	244.3	1144.7	584.8	426.5	330.9	1374.5	1153.4	169.8	364.6	314.1	974	215.4	450.1	271.4	296.9	284.3	448	803.4	361.4	450.9	334.5	365.8	965.7	1069.9	245.4	327.1	231.6	709.4	1020.7	888.8	494.5	327.8	887.5	330.1	904.7	668.7	720.6	1004.2	448.3	255.8	974	894.9	986.2	345.8	880.3	358.2	1088.7	1169.2	927.4	1064.2	995.3	1134.9	1057.7	343.6	421.4	1179.6	377.9	1238.9	1360.9	1669.1	1386.4	1230.4	1105.8
Contig11570_at	40.8	406.2	418.2	469.6	253.5	320.5	318.6	87.8	330	355.9	58.9	362.7	65.8	43.7	331.1	24.6	278	45.6	57.2	49.3	50.3	348.4	25.4	45.3	39.1	248.5	262.3	45.6	49.4	49.9	247.3	286.6	317.3	48.9	277.3	67.9	388.5	32.9	397.2	40.6	48.8	254.3	345.8	57.8	64.6	33.4	34.2	48.4	65.2	46.8	270.8	252.9	47.4	356.8	52.4	192.8	439.6	72.9	290.8	228.9	295.1	61.8	29.8	330.9	466.6	233.8	351.6	35.2	344.1	291.3	59.4	64.8	47.9	256.7	248.6	39.2	321.6	430	50.8	36.6	391.5	317.3	35.9	48	45.7	319.8	35.7	54.3	37.8	44.2	37.2	60.5	201.9	43.4	43.2	35.9	45.5	355.2	343.6	32.7	55.4	48	212.9	340.4	255.7	55.6	46.8	276.7	34.5	368.5	261.6	261	313.8	60.1	31.1	297.4	278.5	349.9	41.2	279.4	50.3	433	283.1	190.2	244.4	334.5	294.6	326.8	70.5	56.5	240.2	40.3	297.5	341.1	339.4	449.4	339.5	279.9
Contig11660_at	212.7	435.3	374.3	397.6	252.9	286	328.7	238.3	319	327.4	228.2	239	222.1	182.6	271.8	168.3	245	291.9	244.4	241.9	185	296.8	167.7	176.3	195.3	128.1	292	231.3	197	162.1	179.1	220.2	227.8	195.9	278.4	220.2	356.1	130.5	342	127.8	166	192.4	303.5	374.4	210.4	251.1	253.4	237	229.1	221.1	291	224.2	194.9	348.8	157.6	204.3	371.1	196.9	327	289.6	255.8	289.4	151.4	340.7	322.5	207.4	316.4	275.5	322.4	302.3	214.5	227	219.2	230.3	219.1	148.1	335.2	203.3	241	173	386.6	295.3	138.3	214.2	211.3	288	141.7	198.3	187.5	203.9	140	292.2	216.1	164.6	217.8	162.6	196	334.6	262.8	173.9	242.6	153.6	236.3	307.8	225.6	289.9	147.2	240.8	193	313.2	235.5	249.5	315.5	190.6	194.2	325.2	353.7	332.8	121.1	241.8	203.7	335.2	384.8	204.9	281.4	267.1	297.9	329.8	146.8	186.5	292.8	162.5	279.6	314	338.2	409.2	285.3	321.5
Contig11944_at	53.7	147.9	158.7	147.9	63.3	96.9	125.1	83.2	162.8	102.5	54	148.8	69.6	53.8	112.4	43.2	73.1	42	38.2	22.7	54.7	147.2	87.9	28.7	40.6	62.6	72	43.1	38.3	67.3	87.3	134.4	156.7	30.4	100.5	74.3	148.6	39.4	83.5	38.5	59.5	75.6	123.9	73.4	75.3	34.4	54.3	43.7	50.3	47.5	51.9	117.2	40.1	73.9	35	70.2	120.1	63	136.3	66	99.6	29.8	34	99.8	103.1	53.1	131	57.9	106.8	94.9	40.7	34.4	48.1	52.1	95.2	31.7	86.2	121.1	49.1	20.7	85.9	74.5	23.7	38.4	58.5	89.3	24.7	42.9	36.3	41	48.2	80.1	122	60.1	31.7	36.3	37.5	59.9	111.6	25.9	36.1	49.9	53.8	89.2	52.9	51.1	42.3	102.1	33.5	73.3	62.3	47.6	74.6	40.9	34.5	115	70.8	69	33.8	66.6	28	115.5	50	70.5	65.4	85.8	118.9	70.8	42.3	38.8	87.9	51.6	86.6	163.7	108.8	108.3	76.6	139.8
Contig13606_s_at	227.9	448.5	326.9	391.9	207.6	235.2	316.1	308.5	406	262.2	203	271.7	245.1	212.4	243.4	109.1	203.7	258.2	224.2	159.4	209.9	209.2	195.3	176.9	194.7	160.5	242.8	218.6	246.4	186.8	169.4	275.7	233.8	168.9	223	249.4	286.4	117	417.1	171.4	240	226.2	280.1	250.6	221.7	207.7	213.7	236.1	247.1	247.7	196.1	156.8	218	263.5	159	134.2	317.5	217.6	246.9	191.5	271.2	172.7	132.7	278.5	395.2	232.3	265.9	341.1	282.2	275.6	249.3	216.1	200.8	211.5	242.1	140.5	268.7	294.6	212.8	126.2	396.3	245.7	129.1	221.1	200.9	286.5	123.3	249.7	187.7	175.9	138.4	277	201.6	172	158.8	181.5	198.6	277.5	249.6	191.4	161.3	162	239.7	268.9	201.8	302.8	167.6	201.4	144.4	237	191.5	223.4	257.1	221.6	141.7	310	232.6	263.2	149.6	206	187.6	321.6	338	159.5	192.1	253.7	237.9	291.5	131.9	217.4	188.1	172.6	264.7	254.6	321.4	455	264.6	271.6
Contig13623_at	260.5	446.2	426.8	493.3	222.3	285.4	331.8	316.5	422.6	381.8	221.6	384.2	184.9	218.5	373.9	165.2	293.1	306	194.3	197.6	222.1	432.5	236.8	208.4	137	226.6	249.4	281.7	273.6	183.2	223.5	393	276.9	163.4	287.9	300.4	414.5	145.7	342.1	161.8	194.4	236.5	316.7	282.5	296.6	149.9	162.1	190.6	227.3	288.9	285	256.8	193.9	335.7	115.1	257.2	355.5	245.8	309	312.4	340.8	172	102.5	309.5	502.3	220.5	187	217.6	254	261.1	217.3	186.2	141	239.5	300	189.1	267.3	353.6	243.6	137.1	448	264.4	140.1	219.8	158.9	317.2	137.9	178.9	141.3	186.8	209.6	369.4	275.9	141.9	305.1	147.7	179.8	290.8	258.6	136.3	193.6	179.5	282	350.3	179.1	263.7	141.5	289.8	176.5	233.4	186.3	253.2	287.4	218.1	157	311.5	185	157.9	191	231.6	178.2	301.5	235.5	264.9	218.1	323.6	286.3	339.7	194.1	216.8	228.3	187.5	297.5	434.2	299.7	357.1	244.9	267
Contig15204_s_at	38.8	128.5	111.7	80.8	78.7	87.9	81	84.1	121.1	94	80.7	98.9	71.2	49.5	76.6	46.4	77.4	84.2	76.5	39.4	24.5	105.5	45.1	57.2	56.5	66.9	77.4	69.6	77	60.4	80.7	105.6	78.9	51.3	67.5	79.7	87.4	39.8	117.2	59.2	63.9	85	80.1	67.9	87.7	67.2	55.4	56.1	80.3	94.3	91.4	84.7	53.7	103.9	41.9	72.5	114	70.8	75.1	53.6	101.8	83.8	38.2	128.9	93.1	79.8	108.8	88.1	85.2	79.7	61.7	67.7	65.5	68.9	73.2	38.2	87.7	83.8	108.9	45.9	137.4	102.2	25.9	73.3	47.3	89	53.7	65.4	51.1	50	49.8	123	72.5	50.6	92.2	47.7	46.1	98.1	77	30.9	60.9	65.4	57.4	83.7	61.3	85.2	67.9	70.7	55.2	84.9	63	73.1	85.5	59.9	41.1	95.2	74.4	65	36.2	71.9	48.3	95.6	107.5	52.3	55.4	86.2	73.4	65.4	58.9	75	79.1	57.8	77.9	96.3	124.8	121.1	98.1	82.6
Contig15529_at	196.2	520.3	390.1	512.6	174.1	299	402.9	331.8	457.8	385.4	254.3	303.9	199.4	202.3	319.2	141.1	320.6	366.5	236.5	225.7	194.7	309.7	192.7	190.8	202.8	214.3	315.5	198.3	314.6	210.4	189.6	384.9	280	218.1	229.3	291.4	382.2	141.6	385.8	270	232.8	313.7	414.8	224.6	282.6	288.9	240.2	258.6	225.9	276.5	302.6	280	239	337.1	136.4	228.5	369.9	216.2	374.2	268.2	325.6	209.2	133.2	466.5	434.1	191.9	386.7	353.6	352.2	352.3	303.9	310.3	230.2	243.7	304	213.4	416.1	398.8	273.9	126.9	485.5	282.9	108.8	255.1	191.9	406.7	151	309.9	177.8	191.4	174.2	315	230.8	244.5	293.7	155.1	233.7	453.8	381.2	184.3	206	155	240.1	333.3	233.2	392.6	239	283.9	223	334.8	179.8	293.8	416.9	231.2	152.6	460.8	315.1	327	180	292.4	228.8	455.5	323.2	229.9	275.3	367.6	274.9	339.5	142.9	228.1	271.5	187.5	319.5	396.3	394.4	496.4	386	278.3
Contig16526_at	189.6	1645.8	1425.9	1289.7	552.9	631.7	258.3	481.8	1159.8	889.5	367	371.9	1069.4	238.9	508.4	179.7	771.5	307.5	962.3	228.7	283.4	855	227.4	143.7	118.8	163.2	616.7	262	340.9	236.7	512.5	849.6	488.4	191.2	794.2	473.6	1582.3	137.5	995.4	285.5	249.7	927.6	709.4	1162	290.9	1092.1	195.2	208.9	345.9	473.4	104.3	561.6	136.5	611.6	206.6	375.4	944.3	165.9	674.6	357.1	618.4	751.3	239.5	802.9	951.4	550.2	694.1	196.5	831.3	426	306.7	296.6	264.9	452.3	470.8	144.7	550.2	226.5	175.2	122.3	740.5	982.5	161.7	93.8	69.8	531.4	176.1	184.1	130	160.4	140.5	297	664.8	228.4	282.1	183.2	151.8	951.8	1001.5	97.7	248	196.5	321.7	1001.8	502.4	486.7	169.4	467.5	116.3	720.6	285.5	678.2	990	212.4	195.7	673.8	399.7	531.8	137.7	722.3	115.1	320.3	622	531.4	305.5	712.4	557.7	1065.6	224	318.4	626.9	172.2	1074.3	1363.1	1111.2	273.3	1105.9	719.8
